room,floor,Mon1,Mon2,Mon3,Mon4,Mon5,Mon6,Mon7,Mon8,Mon9,Tue1,Tue2,Tue3,Tue4,Tue5,Tue6,Tue7,Tue8,Tue9,Wen1,Wen2,Wen3,Wen4,Wen5,Wen6,Wen7,Wen8,Wen9,Thu1,Thu2,Thu3,Thu4,Thu5,Thu6,Thu7,Thu8,Thu9,Fri1,Fri2,Fri3,Fri4,Fri5,Fri6,Fri7,Fri8,Fri9
403,4,N,N,N,N,N,F,N,N,F,N,N,N,N,F,F,N,N,F,N,N,F,N,N,F,N,N,F,N,N,F,N,F,F,N,N,N,N,N,N,F,F,F,N,F,F
405,4,N,N,N,N,N,F,N,N,F,N,N,N,N,N,N,N,F,F,N,N,N,F,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,F,F,F,F
406,4,F,F,N,N,N,N,N,N,N,N,N,N,N,N,F,F,F,F,N,N,N,N,F,F,N,N,F,F,F,F,N,N,F,N,N,N,N,N,N,F,F,F,F,F,N
409,4,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,F,F,N,N,F,N,N,F,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,F,F
410,4,N,N,N,N,N,F,N,N,F,N,N,N,N,N,N,N,F,F,F,N,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,F
411,4,N,N,N,N,N,F,N,N,F,N,N,N,N,N,N,N,F,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,F,F
412,4,N,N,N,N,N,N,N,N,N,F,F,N,N,N,N,N,F,F,N,N,N,N,F,F,N,N,F,N,N,N,N,N,F,N,N,N,N,N,N,N,N,N,N,N,N
203,2,N,N,N,N,N,F,N,N,F,N,N,F,F,F,F,F,F,F,N,F,F,N,N,N,N,N,N,N,N,F,N,F,F,N,N,F,N,F,N,N,F,F,N,N,F
204,2,N,N,N,N,N,F,N,N,N,N,N,N,N,F,F,N,N,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,F
205,2,N,N,N,N,N,F,N,N,N,N,N,N,N,F,F,N,N,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,F
206,2,N,N,N,N,N,F,N,N,N,N,N,N,N,F,F,N,N,F,N,N,N,N,F,F,F,F,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,F
212,2,N,N,N,N,N,N,N,N,N,N,N,N,N,F,F,N,N,F,N,N,F,N,N,N,N,F,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,N
211,2,N,N,F,F,F,N,N,N,N,F,F,N,N,F,F,N,N,F,N,N,N,N,F,F,N,N,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,N
210,2,N,N,N,N,F,N,N,N,N,F,F,N,N,F,F,N,N,F,N,N,N,N,F,N,N,N,N,N,N,N,N,F,N,N,N,N,N,N,N,N,F,F,N,N,N
209,2,N,N,F,N,F,N,N,N,N,N,N,N,N,F,F,N,N,F,N,N,N,N,F,N,N,F,F,N,N,N,N,F,N,N,N,F,N,N,N,N,F,F,N,N,N
Library Dome,1,F,F,F,N,N,F,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,F,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
Library Hall,1,F,F,F,N,N,F,N,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,N,F,F,F,F,F,F,N,F,F,F,F,F,F
201,2,F,F,F,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,F,F,N,N,N,N,N,N,N,N,N
401,4,N,N,F,N,N,N,N,N,F,N,N,N,N,F,F,F,F,F,N,N,N,N,F,N,N,F,F,N,N,N,N,F,F,N,N,F,F,N,F,N,N,N,N,N,N
Com lab 1,1,N,N,F,N,N,F,N,N,F,F,F,N,N,F,F,F,F,F,F,F,N,N,F,F,F,F,F,F,F,F,F,F,N,N,F,F,F,F,F,F,F,F,N,N,N
Com lab 3,3,N,N,F,N,N,F,N,N,F,N,N,N,N,F,F,F,F,F,N,N,F,F,F,F,N,N,N,F,F,F,F,N,F,N,N,F,N,N,F,F,F,F,F,N,N
Com lab 3-2,3,F,F,F,N,N,F,N,N,F,N,N,N,N,F,F,F,F,F,F,F,F,N,N,F,N,N,N,F,F,F,F,F,F,N,N,F,F,F,F,F,F,F,F,F,F
Music studio 1,4,F,F,N,N,N,F,F,F,F,N,N,F,F,F,F,F,F,F,F,F,N,N,N,F,N,F,F,F,F,F,F,F,F,F,F,F,F,F,F,N,N,F,F,F,F
Music studio 2,4,F,F,F,F,F,F,N,N,F,F,F,F,F,F,N,N,F,F,N,N,F,F,F,F,N,N,F,F,F,F,F,F,F,F,F,F,N,N,F,F,F,N,N,F,F
Science lab 2,2,N,N,N,N,N,N,N,N,N,F,F,N,N,N,N,N,F,F,N,N,F,N,N,N,N,N,N,N,N,N,F,F,F,N,N,F,N,N,F,N,N,F,F,F,F
Science lab 3,3,F,N,N,N,N,N,N,N,N,N,N,N,N,F,N,N,F,F,N,N,N,N,F,F,N,N,N,N,N,F,F,N,F,N,N,F,N,N,N,N,N,N,N,F,F
Science lab 4,4,N,N,N,N,F,F,N,N,F,F,F,N,F,F,N,N,F,F,N,N,N,N,N,F,F,N,N,N,N,F,F,F,N,N,F,F,N,N,F,N,N,F,F,F,F
